Date,Open,High,Low,Close
6-Feb-16,386.59,386.63,372.39,376.52
5-Feb-16,388.9,391.09,385.57,386.55
4-Feb-16,370.17,391.61,369.99,389.59
3-Feb-16,374.65,374.95,368.05,369.95
2-Feb-16,372.92,375.88,372.92,374.45
1-Feb-16,369.35,378.07,367.96,373.06
31-Jan-16,378.29,380.35,367.83,368.77
30-Jan-16,378.87,380.92,376.49,378.25
29-Jan-16,380.11,384.38,365.45,379.47
28-Jan-16,395.15,395.5,379.74,380.29
27-Jan-16,392.44,396.84,391.78,394.97
26-Jan-16,392,397.77,390.57,392.15
25-Jan-16,402.32,402.32,388.55,391.73
24-Jan-16,388.1,405.49,387.51,402.97
23-Jan-16,382.43,394.54,381.98,387.49
22-Jan-16,409.75,410.41,375.28,382.49
21-Jan-16,419.63,422.88,406.3,410.26
